3D small cj84ru87u.3bp6dj94cj84a86？	3D small 畫家有人會畫嗎？
u04 small g; 84 ji32j xj045j8  z035/4ru.4y94ru4ru8 2u42h487	這 small 傷阿 我都亂抓 反正就在結痂第2次阿
jo3ao6u.3w96j0 283nj04ul  buy F-35wu62ji gl3Krup4yji42u6ej84?	有沒有台灣打算要 buy F-35是多少K金做的掛?
rul45j3dk3u3w. w. ej4nj4ji3i8 long gp6ak7vu;4y3a84	教主可以偷偷告訴我i8 long 什麼樣子嗎
jo3ao6u.3 good 284u cji41u4cj42k718 ej84？	有沒有 good 大一隻壁虎的八卦？
m/4listen on repeatru.4 good	用listen on repeat就 good
u/ jp6 good 5j/4jp6ru.4dji4x04？	英文 good 中文就會爛？
5p 2u6，ji3ru8 ru 1u41u32j4 t/6wk4m4u06 good fu0 d.3e. wj/ ru.4jo35;494	真的，我家隔壁肥宅 程式語言 good 開口溝通就有障礙
ji3y/ 5 2l4su32k7 good ，ji3h/65 2l4su3u.42ji 5j/4ul4	我曾知道你的 good ，我曾知道你有多重要
ji3y/ 5 2l4 su32u  good	我曾知道 你的 good
w961o3bp6 good el4ru6 el vm/6bp6hji x84c.4xul4^^	台北人 good 高級 高雄人最落後了^^
u;41l31ul ，u;3djp xjp6sj6，u;3g6dk4，e0  small fu,4	養保鏢，養崑崙奴，養食客，幹 small 妾
n4wu,32u42u/4qul4vu4wj/3g41j6g4 high 56g/ 2u fu ai4yji4u,4？	台鐵的訂票系統是不是 high 職生的期末作業？
g6-4u,4zo453u6su062ji xk7，g. m/3 center cj06 good a86？	十二夜廢止一年多了，收容 center 還 good 嗎？
u.3ao6u.3bj6xji3u.4ao4ao4ru.4 good xul42u418 ej84？	有沒有如果有妹妹就 good 了的八卦？
el 5j/ q8 ，2u4u4y xu3ru8 m04rm,62k6t/6g4 good 284cl3vup vu03	高中吧，第一次離家遠覺得城市 good 大好新鮮
t;61o4t4cj0 1u04up u.4cp3284g/ 2u4 video ？	長輩喜歡變音又很大聲的 video ？
cl4 cold ~vm,3u3ru/4ru 2o3sji4ak7gp 	好 cold ~雪已經積得那麼深
cp32ji bp6y94eji6j94 job ru.3xul4z.3u,3vu;3104z83djo6cji4a83?	很多人在國外 job 久了不也想辦法歸化嗎?
cp32ji u3g/ u.32k7g6c.4ep 1p x942k7xu3su3，w8 s94yj042l4fu06ru.4 good xul3	很多醫生有的時候根本懶得理你，他能賺到錢就 good 了
1u3tk4vu;3b;4y4ru3u.4 good dj/ vu4vu e9  buy gp6ak7??	肥宅想讓自己有 good 空氣吸該 buy 什麼??
w96 large 2u04ru 2j 5k4u;4gji xk7，ji3u04ek3xj3gk6cj06s/6gji g6ak7	臺 large 電機都這樣說了，我這個魯蛇還能說什麼
u3g/ z04hj4>t x.6z04 z83ej0 q04hj4>ej4eji6qo6>fm06aup6 buy t06	醫生犯錯>吃牢飯 法官判錯>告國賠>全民 buy 單
g6vu04 large 5j/4cj86n vu;3 5/ vu/45j/4eji6 wj/3u453b4dk3294	實現 large 中華思想 正興中國 統一指日可待
jo6g84joke103 open 1j4fu3x96	為啥joke版 open 不起來
ji3vu;3d0 joke2u6g6c.4286d9 ru03ru/4w.6ru.4 good ej/ su3gp dl3	我想看joke的時候打開前鏡頭就 good 供你參考
ul3yp3ak7d0 2l4vul3rul4sm3g/ 2u6 small dj4dj4su ？	要怎麼看到小學女生的 small 褲褲呢？
d041p  small gji u8 u84ru/  vu vu 	看本 small 說壓壓驚 嘻嘻
vu;4gl3a;6cjo6dj 294u,3g4q865/ ao4 pro g4z.31j4ck6xu3?	項少龍回古代也是把正妹 pro 是否不合理?
e04su3xl3g vm06 good ao6bp6wu, tl3vu/ 2u ek ru 	幹你老師還 good 沒人貼超腥的歌雞
28 2l4tk 5j04ru03ru.4xl3g  good x94c94 qp4xk7ru.4ao6....	搭到車賺錢就老師 good 厲害 噴了就沒....
yjo4 ugly gl6q96	最 ugly 招牌
m/4gp6ak7y4g4gjo4rm,6qu3rm,6 good	用什麼姿勢睡覺比較 good
ej03sji6wu6 large ru.31l3su4 good wji vm4	幹那是 large 久保膩 good 脫序
t/6g6g; 2u04 sell iphone2u cj84，cjo42l4a83？	誠實商店 sell iphone的話，會倒嗎？
bp654cj04，y94 good jo4bp6g 。	人之患，在 good 為人師。
5o4vu;4 buy 5j/4eji6rm42u6g6c.4cjo4zj dji4qu 2ul s06	這樣 buy 中國劇的時候會不會被刁難
u04su06w.7tj ru8 cj061u4vul4 good yj04	這年頭出家還比較 good 賺
large wu/62u04？	large 停電？
yjo4c.4u 5;4 good ji4..	最後一張 good 噁..
ru.4ej9 ej9 29 y94n4j0 ru.4 good xk7 x;6zo4ru03e04a86	就乖乖呆在台灣就 good 了 浪費錢幹麻
jo3ao6u.3t;6u.41u04cji42u  job 2k718 ej84？	有沒有常有變化的 job 的八卦？
dk4y93vu;  close g6j4jo3ul vu;4ru842u4u4n7a86?	蚵仔相 close 食物有要降價的意思嗎?
w96j0 2k75j93vu/65/4u4hji  important 2u4rul3ao6yji4?	台灣的轉型正義最 important 的卻沒做?
2ji gl3ru03dk3u31j4 job ？	多少錢可以不 job ？
d04dj0 vup fu/6dji4u.450 t94 rup su06 good x96j 2o3ru;32u42j a06tp65j/42k7ru.4g4	看完心情會有點差 今年 good 萊屋得獎的都蠻沉重的就是
u6j0 jp6yj32k7 pay g41j6g4w94 low	台灣文組的 pay 是不是太 low
good mp4x96~ ejp3ejp3x94~	good 運來~ 滾滾來~
s86qi xu3yp3ak7cji6 sell cji6ejo4	拿坡里怎麼越 sell 越貴
u6e a94584ru u e qu n84d0 su3vu;3fu g848 	一ㄍ賣炸雞一ㄍ sell 披薩看你想吃啥ㄚ
s06c96ru03w.6z841up xm4cp3 high 2u6186ej84？	男孩剪頭髮頻率很 high 的八卦？
sji41u0 cp3 in ql3yjo4c.4u4au/62u656vu,6qu n4nk4xu,4rmp bp6tj3fm, 2u u.6nji 	那邊很 in 跑最後一名的直接被以色列軍人處決的遊戲
su3ru42o3vm06ul  open zj6wk4gj4a83fm4 w8 ap7u,4al6dji4ck42l4zp4njo 	你記得還要 open 福特野馬去 他們業務會嚇到噴尿
w9 ru 2u04xjp610 b06c.4rm Twice t/6m06，d0 x96u,3g4 tool bp6	台積電輪班然後娶Twice 成員，看來也是 tool 人
5p vu 5;4cl6 good a93	珍惜帳號 good 咪
m6j06ej/ n0  small	魚丸公三 small
bj3np xu3h965j/41j6 important ?	女森理財重不 important ?
c06eji6u ru8  large fu3u,4dk3g42u,6yj62ji vu;4t03u,4，u6nj04zp n04z/ ru03	韓國一家 large 企業可是涉足多項產業，也算分散風險
b4t6g6ru e94 good c.4ao62j e/4，cp32ji vu04294wu,3qu65l q96t42ul4c.4dji41i 	日治時期蓋 good 後沒都更，很多現代鐵皮招牌拆掉後會發
m,4" high g;3"2u4wk4u,4m,4co 04，2. a83a03yjo3bp6vu 2l32k6	越" high 上"的職業越黑暗，都馬滿嘴仁義道德
small g6c.42; jo4g/ ej35;42k7 long large c.42. y94e04a86？	small 時候當衛生股長的 long large 後都在幹嘛？
small g6c.42;410 t;62k7su3	small 時候當班長的呢
54ru03 in xl4fu 	之前 in 落漆
sl3q.32j04h/6 agree gj ?	腦部斷層 agree 書?
ej/ n0  small ejp3	公三 small 滾
Aq042u6hjp6y942jo4m z04yjo4gj94x96gji g4 good wu6cj94？？	A片的存在對於犯罪率來說是 good 是壞？？
tj;4hl4g/4bp6ai6g42u  video	創造聖人模式的 video
small j03xj3b.4z04u6j0335m06,ek61u4au04s04dk3u3fu 294j032k7	small 碗滷肉飯一碗35元,隔壁麵攤可以吃大碗的
1j453bj4w;3 vm06ul3jo3 small fm 5;3u3g;4y ek6 tj eji6c96u.4xup4al4	不只入黨 還要有 small 組長以上資格 出國還有任務
bj6ck6s96fm4 sell 5j b.4?	如何能去 sell 豬肉?
su3q/6u.3wu62.4gj 2.42l4sl4294 bad sji6xk7j = =	你朋友是讀書讀到腦袋 bad 掉了喔= =
vul3xji6xu6rul4ji3u,4w8  full xu035ji6g4?	小蘿莉叫我射她 full 臉濁液?
good k3vu;3wj3 ejp3	good 噁想吐 滾
ptt open ek4j;3xji4a94t;6u.4ful w.6a84？	ptt open 個網路賣場有搞頭嗎？
q86q86jp65p 2u fu0 g3cp3cl4fu6ru/3wu062u4 background k 	爬爬文真的開始很好奇景田的 background 阿
tp6ej0 vu 2u6 good x96j3u03ru4fm4s83xk7	陳冠希的 good 萊塢演技去哪了
sm3c96su670nji42k7u. g4dji41u330nji4g6e/  large a83？	女孩兒70歲的優勢會比30歲時更 large 嗎？
ru 19 2j nj/ xul4 c96301u320 good	雞掰都鬆了 還30比20 good
g;4c931u4m4 old gk4dj94 qj32j/ qu3m6e93ek6fu0 z; c.42u4 new gk4dj94	上海比喻 old 社會 浦東比喻改革開放後的 new 社會
ru.4rup4m/4zj6xm4j065 c.4a04a061u04vul3xul4g4ul wl3xjp6n0  small	就禁用氟氯烷之後慢慢變小了是要討論三 small
vu;31; ru3ek3 good q/6u.3fm tji4cl6~vu;4aup6vm/6ru3cl3u4vu04a87	想幫幾個 good 朋友取綽號~鄉民能給好意見嗎
u.6m/3283gjo3283sji4ak7 large tj/3n0  small	游泳打水打那麼 large 衝三 small
dk3u3 control u/6fu6zp4 g/4zp6t8 h96g4 high qo6 su3gji su 	可以 control 贏幾分 勝分差才是 high 賠 你說呢
jo4x94g8 ai4g4z.3dji4wu6 new 2u/4ru 2ji4	未來沙漠是否會是 new 定居點
sji6u.4u04ak7 good 2k7y4 ji3ej;4m/4g4vu04ru.4dk3u3e032l4193tk3j94sk7	哪有這麼 good 的事 我光用視線就可以趕到百尺外呢
y94w961o3dj94rm,62k6 cold 2u6g41j6g42j wu6s061j4bp6？	在台北會覺得 cold 的是不是都是南部人？
ji3wj/6g4 vup ru8 qi bp6 tj t9 x94u6j0  rup wu0 u.4ep ji3d04 cold	我同事 新加坡人 出差來台灣 今天有跟我喊 cold
b41p3 pull au042k71p wu3	日本 pull 麵的本體
rul42j/3y4 long 2; n ru ，wul4ru6gj; 	叫董事 long 當司機，超級爽
2;7b06g45 a8  cj8 g/ 2j ao6bp6ul3 buy nji3n45 rup4cji45 a862k7	當然是芝麻 花生都沒人要 buy 所以只進貨芝麻的
286fu; u.41j4m/4ru03，2832l4w8 e0 m03cj04 good 2k7x9683	打槍又不用錢，打到他甘願換 good 的來阿
2. u.4x87 s/6xu4 good 2u  ep u.3 background 2u bp6	都有啦 能力 good 的 跟有 background 的人
m/3cji72.4ru; 284j;62u6cj84u/ e9 wu654gl3u.3 breakfast t x87	永和豆漿大王的話應該是至少有 breakfast 吃啦
u.4g.3u04ak7 large	右手這麼 large
co bp6wu/ gji y94b41p cp3t 2u6 open	黑人聽說在日本很吃的 open
jo4gp6ak7j94g/3jo4 background 2k7rm45o4ak72ji 	為什麼外省為 background 的劇這麼多
s86u yjo jp6a.6vu,6 ru, ej04ao6dl32l4 fast vul4n3	拿一堆文件夾 結果沒考到 fast 笑死
w96j0 jo3go6 long 2o3vu;4ru,6u4a83？	台灣有誰 long 得像結衣嗎？
w06xu04945p 2u4qu3504gp  good a83？？	談戀愛真的比單身 good 嗎？？
m/3djo6bk42l42u04，q/6jp6xj45l32k72l4 job a87？	蛹踩若倒店，膨蚊戮找得到 job 嗎？
y 1p c.4 cj04ek4au/4y4cj04ek42u03ru.4 good u u;42j/ g0 y94fu3	資本厚 換個名字換個點就 good 一樣東山再起
ji3ul4d04g;4w8 u.3gp6ak7 close vu4？	我要看上她有什麼 close 係？
su3d0 t6ru,61i62u6g.3wl3fu/ fu/ u 042u04wu6zo 2o3wu0 g;4sji6ak7 high	妳看她潔白的手套輕輕一按電梯飛得天上那麼 high
w8 gj;3xk7 fast xu;35 u4fu3x94	太爽了 fast 兩隻一起來
ji353dl3eji6u/ gk43dk 2. qu6wji6 high 1ru6	我只考國英社3科都比他 high 1級
fm  large j06ej;4gp6fu61l31o4 center	去 large 丸逛神奇寶貝 center
sk6ek4 idol su3m04u4cj8 480053jo6vu04wji6u6au04?	哪個 idol 你願意花4800只為見他一面?
d04w8 283ek 2.4rul42k7 good su;61l6…	看他打格鬥覺得 good 娘砲…
gji 5j3ej03 good cj84qu 5j4ej03wu/ 2l4yp3ak7	說主管 good 話被主管聽到怎麼
rm,62jo4g4SET good 2k7	絕對是SET good 的
u.3ao6u.3 small cj;6yji3yji3u.4u.42k718 ej84	有沒有 small 黃左左右右的八卦
q06y3ap4a03u.6ej;4su3gji 5 50 u6dk3? vu8 19 fu6gj4u6ul3 good u42u03	盤子滿滿油光你說只點一顆? 瞎掰技術也要 good 一點
2;7xk75j3ej03dji4y42j/4rul4vu6e0 cj84 skill a87？	當了主管會自動學習幹話 skill 嗎？
bp6ru;3m42l4dk4bp62.  open d.3h96u.4u,4ru ，sk65j ru03ao6bp6d9 d.3eji7a87？	人講遇到客人都 open 口才有業績，那之前沒人開口過嗎？
xl3g6gji :sji45; xu03d0 ru.3xul3dj94rm,62k7 ugly	老實說:那張臉看久了會覺得 ugly
u456ul4su3fu/4fu842u bp6，vu;4aup62. yp3ak7 reply ?	一直要你請客的人，鄉民都怎麼 reply ?
1u3596qu45j8 fm 5p4d/ wj6vu,4dj941u3rul4 fast u 50 	肥宅被抓去填坑屠殺會比較 fast 一點
z8 vu04 open 561i32u6bp6g4ao4ao4e9 yp3ak7104	發現 open 直播的人是妹妹該怎麼辦
5p 2u6u.3bp6 buy ps4cjo4 buy 2pg.3q86a83	真的有人 buy ps4會 buy 2p手把嗎
ji3xl3qi6u.4ji3ru.4 good xul3 z.3vm ul4so4vu, 	我老婆有我就 good 了 不需要那些
pull au04u.3w;6vup 204wu6gk6ap6j9 2l4a84	pull 麵有糖心蛋是邪門歪道嗎
b41p vup y el  rul3u.31i6j04fu/ su/4zj tj ap6 job	日本薪資高 卻有百萬青年不出門 job
up jo6ao6x94eji n4j0  zj 5 2l4b41p3 job dk3u35j04u04ak72ji ru03	因為沒來過台灣 不知道日本 job 可以賺這麼多錢
w8  fast xul4	太 fast 了
g4g045;4dj/4vm 2u4q/6u.3su ！ good xu4～ck6！	是擅長空虛的朋友呢！ good 厲～害！
q8 qu6cj61j4x06su  gjo6h96wu6 in wu0 c.4	芭比和布蘭妮 誰才是 in 天后
c.4n0 vul3 294n0  small	後三小 帶三 small
large sji6zj n35p u.3c.4zj6a87	large 難不死真有後福嗎
2. wu6cj8 fu06 buy ,h4ru vul 1u4!h94up jp62k65/4!	都是花錢 buy ,刺激消費!蔡陰文德政!
5j4ej -6m04cjo41u31u4xu/3u;3 good a84?	住孤兒院會比被領養 good 嗎?
u.4ru04→ru04xu4fu,4ru/ → cut →wu, g;4	右鍵→建立捷徑→ cut →貼上
h a84 zp ji3u62u03	good ㄘ嗎 分我一點
2.4g6ak7vu4tj x94hji  easy 1u04zo4j4?	讀什麼系出來最 easy 變廢物?
ru8 bj4s93aj4103n0 fu g41j6g41u4ru8 bj4rm3103 good	加入乃木坂三期是不是比加入欅坂 good
b06c.4wji6ru.40 zp4xk7 ek3bp6ru/4u04 share	然後牠就安分了 個人經驗 share
small g6c.4jo3gp6ak7cp3fu6q8 2u ru4u4z83?	small 時候有什麼很奇葩的記憶法?
good vu;3fm4b41p j06yp3ak7104	good 想去日本玩怎麼辦
good vu;3t 5; m6vu031o4ep c861u/3i4	good 想吃章魚仙貝跟蝦餅喔
2l42u3284ej/ n4cj06wu6vul3ej/ n4 good ？	到底大公司還是小公司 good ？
xj4bp6xu031u4u4u4fu; c96y942u vm,4xu3，504xu4bji4cp32ji xul3 good a84	路人臉被射一槍還在滴血哩，戰力弱很多了 good 嗎
ao3wu0 2. 283ej04rmp n94 good qj4cl4?	每天都打冠軍賽 good 鋪好?
t/6fu/ cj6g4ao61l3u;4 good a84 jo3cl3cl3jo6cj4ep 1p32ul3286 new 5j; 	澄清湖是沒保養 good 嗎 有好好維護根本屌打 new 莊
eji u6au/6ep w8 2u3vu84ej/ t/6g 1u3fu3x942;7b06wu6eji6w96au/6qu/6ru84 high 187	郭台銘跟他底下工程師比起來當然是郭台銘評價 high 吧
au/65 2l3su3y.32o3w94yl3 cj06ul3jo4su31; wji6 buy 2jo4rm qul 	明知道你走得太早 還要為你幫他 buy 對車票
t  dinner xji  gjo6ul3ep ji3fm t  ji3fu/4	吃 dinner 囉 誰要跟我去吃 我請
up ul410 m/31j4 easy vm,6cjo4?	音樂班容不 easy 學壞?
algorithm ul 1i xjp4jp6u,3g4ul4g6yji62u q8 	algorithm 要發論文也是要實作的吧
small cji42k7sm3g/ 5p 2u61u4rm,6rup3a87	small 隻的女生真的比較緊嗎
xu3xjp4g;4g45p 2k7，up jo4bp65j/41j4wj/6，rm0 wu3fu4ej0 2k7 size u61j4wj/6	理論上是真的，因為人種不同，身體器官的 size 也不同
zo4cj84，ejo32l3ru04gk4cj061j4fm4jp4su3ru,7vu;4aup6294y94s87xu,42k7，ep 5l  buy	廢話，軌道建設還不去問你家鄉民代在哪獵地，跟著 buy
ru.4fm06q.32j d04z. 2j/3y94e04a868  u.3gp6ak7 good gji 2k7	就全部都看不懂在幹嘛啊 有什麼 good 說的
2. qu4rm04u62ul3sm,4 good a84	都被甄姬屌虐 good 嗎
2; g6z8 g/ u4j942k7s84ek4ru, aj45j4t6bp6wu6 small so4vul3s06	當時發生意外的那個節目主持人是 small 內小南
fu/4jp4u.4ao6u.4 close m gp mp4 background 2u4186ej84？	請問有沒有 close 於神韻 background 的八卦？
fast fm rm6tp6ru/ a93，u.3vu, d9 2l4cp3j03	fast 去屈臣氏買，有些開到很晚
2j y94ejo4g fm0 5j/45j0483。cp3gl4bp65 2l4u.3vu,  large g.35j04tl4vm/ ，su/4vup 	都在繪師圈中賺啊。很少人知道有些 large 手賺超兇，年薪
bp45p cjo6 cj84cji6 ugly cji6 good vu04y94cj842u ru/454z04-6ao6bp6ul3	認真回 畫越 ugly 越 good 現在話的精緻反而沒人要
jo6xul4bp6fm065o45; ru83au04rm4ul3jo6t6j94xl6 pay cj6ru 1p3ej/ y ej84e.4	為了人權這張假面具要維持外勞 pay 和基本工資掛勾
long eji4t/65j/4tj/ ru/32u62jo4vu;4，d04qi45k4ek4bp65j c.4m42l4e/ cl42u62jo4	long 過程中憧憬的對象，看破這個人之後遇到更好的對
04g4su3 fast 294t6fm4fu u8 bj4z04x8 ！	暗示你 fast 帶她去吃鴨肉飯啦！
u.3ao6u.3bj6eji3g4rup4t/6j32;7w961o3zj6 long cjo4yp3u;4su ?	有沒有如果是金城武當台北市 long 會怎樣呢?
su3vu sk6ak72ji y;3 empty fu42j 1j4q84xul4 cj06dj941i6u6ep 1u6al4？	你吸那麼多髒 empty 氣都不怕了 還會怕一根鼻毛？
2u42u7183g.3ru 5ji au041u04t/6ji32k7 photo	弟弟把手機桌面變成我的 photo
b;4wji6c06su3qu4jp32u4 photo cj04t/65ji au04	讓他幹你屁眼的 photo 換成桌面
new z/ 5j ej3 u.45k4ak7cl3j06a87	new 楓之谷 有這麼好玩嗎
cj06 good cp32ji eji6ru,714ru.4ck6z83283ql4 u6u.4122k7	還 good 很多國家14就合法打炮 也有12的
jo3vup 1o3g4wl3q;6 buy y94su,42u6ej84a87？	有新北市套房 buy 在哪的卦嗎？
xu03gj 2u gl3vmp6 feature cp3x04，2. ao6bp6ql m04？	臉書的搜尋 feature 很爛，都沒人抱怨？
1u4fu04 pay xk7……	被欠 pay 了……
u.4xu03g;3 long 1i6g93al62u418 ej84a87?	有臉上 long 白色毛的八卦嗎?
yj/31u4jo4g/ u4vu84au04cj06jo3al4u  good w942ji xul4	總比衛生衣下面還有毛衣 good 太多了
jo6g6ak71o31j4 breakfast 2u04 cp3gl4 sell eji gl4au04	為什麼北部 breakfast 店 很少 sell 鍋燒麵
eji gl4u6vm/62;4 lunch fu 84z04-6yl3g;4fu 2k7bp6z. 2ji 	鍋燒也能當 lunch 吃啊反而早上吃得人不多
ji3ap45s06u6wj/3m/4 fast xu;4ek4m,4	我們5男一桶用 fast 兩個月
cj06dk3u3m/42u vup ep ao3eji6bp6t/6 job x94yji4	還可以用低薪跟美國人搶 job 來做
vu3cj0 2u0 1u,6bp6 cheap 2u4bp6，bp6qup3 good 2l4s93ji31j4vup4	喜歡佔別人 cheap 的人，人品 good 到哪我不信
el 2u,6jo4g6ak7dk3u31i6sji4ak7 fast ？	高鐵為什麼可以跑那麼 fast ？
ep  breakfast 2u04jo387%5ji6	跟 breakfast 店有87%準
g6ru03t84m/4rup4ej;4nj4x96cjo6ru.4 good xul384	時間差用近光速來回就 good 了啊
2k6eji6g4up jo4504194wul6ul  n4j0 wu6g/4xu4eji6 good a84	德國是因為戰敗條約 台灣是勝利國 good 嗎
3/27yl3g;4 large 561o30 xj4tk cji4c;6tk ru3xj4fu4	3/27早上 large 直北安路車禍行車紀錄器
sm31i6j4g/ m0 eji74 small g62u j84y3	女服務生穿過4 small 時的襪子
ru83ru83cji6x8 x8 su,45j/31u4rm,6 good vu; tj4?	甲甲和拉拉哪種比較 good 相處?
long ru/ nj04g 2jo4e; a84？	long 青算師對抗嗎？
tp6vu/ su06su06gj;3e04 new rm4sm4 up jo694 dk dk4	陳星年年爽幹 new 處女 因為愛 科科
b/62ji3 good u;3i4	耳朵 good 癢喔
Lock On w96z/3、 cold vu4tj06a87? a06u.3m/4wj62k7	Lock On 颱風、 cold 氣團嗎? 蠻有用途的
su3c.4x94vm06ql6fm  open zo ru ru.4xul3284ru8 2jo4q8 ！	你後來還跑去 open 飛機救了大家對吧！
small 1l3 yjo4rup42. cp3gl3ep su3j06QQ	small 飽 最近都很少跟你玩QQ
up jo6vu nji3 small g6c.4ru84xu3cp3fm/6	因為西索 small 時候家裡很窮
vu84m3wu0 2k7 small 2j4wj6	下雨天的 small 土土
cp3cj86xu.  wji ej; ej;4w;4 good z;4y94x03rul4g;3g4g4 cjo42l4vup g4ru,4	很滑溜 脫光光躺 good 放在懶叫上試試 會到新世界
e04 good k4i4	幹 good 餓喔
1j65 2l4g41j6g4ji35j ru03u.3ru04u4dk3u3cj04t/6w96u042k7 close vu4，z. eji7	不知道是不是我之前有建議可以換成台鹽的 close 係，不過
vu04y94jo4do zj4ru/3 a86z0650 yj/3qu65 c.4fu 5l4wl6 good	現在立刻報警 麻煩點總比之後吃肇逃 good
overtime 2ji ru.3h96nj04u.4ru/45/4xu4u87？	overtime 多久才算有競爭力呀？
ej/ yj/3u.4fu0 g4xk78  u45. 160 small g6h96dk3u3au03ru;4nj04wu6 overtime	工總有開示了啊 一週160 small 時才可以勉強算是 overtime
qu/6t;6u,3g4wj06vup yji4g/ u4ru.4 good 1u,6cj842ji  up62ji 1u4u4	平常也是專心做生意就 good 別話多 言多必失
vu;3aup6ap4ru04vm062j  buy 2ji gl3fu062u6?	鄉民們鍵盤都 buy 多少錢的?
vu0 gji su3 buy 2ji gl3	先說你 buy 多少
sm3g/ 2. 94 bad bad 2k7s06np ？	女生都愛 bad bad 的男森？
ru03t03x96gji ，ep 5;3vu; 1u3rul4jo3 close vu4	簡單來說，跟長相比較有 close 係
bj3n7u.3gp6ak7 good 2832u  el 5j/ t;6t;6fm4= =	女廁有什麼 good 打的 高中常常去= =
ji3ap7w9 j0 2k7cj4g4g41j6g4nj454cp3 high	我們台灣的護士是不是素質很 high
s94yj04fu062u ej/ yji6 good vm06g4u.3vu/ hj42u4 job	能賺錢的工作 good 還是有興趣的 job
su06fu/ 2 2. gj8 u.3vu/ fm 2k7 job ，wul4cji4q04gji4n0 su/4c.4ru.4ao6bk4fu/6x 	年輕ㄉ都選有興趣的 job ，超過半數三年後就沒熱情ㄌ
el vm/6ep ao62u4z; dk3u3ru4wa2 g0 5j a 	高雄跟沒地方可以騎ㄊㄇㄉ山豬 good ㄇ！！！！！！
m04ru04gj4cj;6g6y4cj42ji4 jo32842u03 large vu84xj4jo4u06m,4u; 	遠箭術黃十字互點 有大點 large 下路胃炎月英
ao6wj61j6ul4w06tj s93 good a83？ej9 ej9 fm dl u41i b06c.4gjo4rul4	沒圖不要彈出奶 good 嗎？乖乖去尻一發然後睡覺
bj6xji32;7tj u4c06ep 196xup3fm  hiking	如果當初亦含跟白凜去 hiking
cj06 good ，j062su06xk7c96ul3dk4rup4u,3w94g 194，gj zo jo6xk75jo cj06ru/4	還 good ，玩2年了還要課金也太失敗，除非為了追環境
e; e; d0 2l4 video wl6xu4a/4gji : co 2l3u61j4bj/6vm3ru0 bp6fu sm4	剛剛看到 video 姚立明說: 黑道也不容許姦人妻女
ru845;494vm03ru03h93j;42; zj6 long 2u6vu84g; 	家長愛選剪綵王當市 long 的下場
ru6u e931j45 2l4y94ej/ n0  small 2u4cp32ji 	輯一改不知道在公三 small 的很多
xj4c93dj/ rmp su,4ek3nj454 good k3	陸海空軍哪個素質 good 阿
g4gji ==tl  easy rul4sj4ao4y72u gji 	是說==超 easy 激怒妹子的說
u.3ru03 good 104y4g4ao6wu/ eji4su3	有錢 good 辦事是沒聽過尼
wu6 small g6c.4qu jo3bp6tj06ru4qu04 vm06vup g;3eji w8  e04	是 small 時候被偉人傳記騙 還欣賞過他 幹
tl4ejo42u4s835j/4 breakfast 2j n04xji45j;4193q06 j06fm06z. 5 2l4yp3ak7fu 	超貴的那種 breakfast 都散落狀擺盤 完全不知道怎麼吃
z8 su3fbcji4co wk4 good a87~su3a8 n3xul3 close ji3qu4y4!	發你fb或黑特 good 嘛~你媽死了 close 我屁事!
w96j0 2k7e. hji 2942u6 large 5/4ao4g4gjo6？	台灣地區最大的 large 正妹是誰？
y7m6 long 5k4u;4su32. rul42o3cl3d04xk7 m4fu6ek3vu/4ao318 	子瑜 long 這樣你都覺得好看了 舒琪個性美吧
vm/6wu0 qu/6vup ek jo4g6ak75k4ak7 good wu/ ?	熊天平新歌為什麼這麼 good 聽?
fu/3jp4Altera good vm06g4Xilinxcl3	請問Altera good 還是Xilinx好
small ai604u,3cp3u06tj/6cl31j4cl3 w96j0 gk4dji42u65l4ul ru/4	small 模案也很嚴重好不好 臺灣社會的照妖鏡
284ru8 ru;3 good j0330zp 5j/ u4fu3y.387	大家講 good 晚30分鐘一起走阿
a93u.4vu86tk c;6cj04k ，ej/ fu06j3g6dj94，su356vu,6y94tk c;4 buy dk3s/6ul3	買油給車行換阿，工錢五十塊，你直接在車行 buy 可能要
5o4q.3 good s04d0  wul4t3vu 	這部 good 難看 超拖戲
183g.3ru  UI wul6t/6b4jp62u6bp6y94vu;3g6ak7	把手機 UI 調成日文的人在想什麼
5j/4eji6ej/ t03w;3 full u 2ji6	中國共產黨 full 意度
1u,6e/3 d04cl31j4cl3fu zj4 good fu zj4ru.4fu zj4wji6 1j4cl3fu zj4ru.4rmp 	別硬 看好不好欺負 good 欺負就欺負他 不好欺負就龜
u04ek3g6ru04e9 t  breakfast vm06g4 lunch ?	這個時間該吃 breakfast 還是 lunch ?
open n0 cl4ru ep g3wj6 buy ru;4u.6	open 三號機跟使徒 buy 醬油
1u3tk4ap7hji fu 2942u4ru4ru,6 fast 2l4x87	肥宅們最期待的季節 fast 到啦
n4j0 tjo4z/4vu xj4 au04g4rul3 care ru03ej/ yji62942u g6ru0 	台灣吹捧矽谷 面試卻 care 前工作待的時間
m,4co z/  high g8 bp6u,4	月黑風 high 殺人夜
eji7fu4 small gji tj x96gj8 hjp6y94c04i7?	過氣 small 說出來刷存在感喔?
cj06 good x8 vu 284a86ep 1p ao6gp6ak7 bj6eji3g4fu6w8 2j6qup3h965p 2k7j06xk7	還 good 啦吸大麻根本沒什麼 如果是其他毒品才真的完了
sm3g/ 2.4xu3ej/ dk vu4 good a87?	女生讀理工科系 good 嗎?
